lat,lon,temp_c,humidity,pressure_mb,windspeed_kph,aqi_index,pm2_5,pm10,co,no2
28.7041,77.1025,7.9,98,990.3,8.1,196,146.7,149.5,1253,14.6
28.7041,77.1025,8.2,98,990.5,9.1,196,147.1,149.9,1291,15.3
28.7041,77.1025,8.1,98,991.4,7.9,196,143.4,146.7,1396,19.6
28.7041,77.1025,7.9,98,991.7,7.2,196,146.7,150.4,1532,25.4
28.7041,77.1025,9.3,95,992.8,10.2,196,148.1,151.8,1599,28.4
28.7041,77.1025,11.1,90,993.6,7.3,196,149.5,152.7,1535,26.2
28.7041,77.1025,13.1,85,993.8,5.9,197,139.2,143.9,1402,21.2
28.7041,77.1025,15.1,77,993.4,6.1,197,129.5,134.6,1285,17.0
28.7041,77.1025,16.8,71,992.5,7.4,197,118.5,123.9,1192,13.7
28.7041,77.1025,17.9,68,991.6,8.0,197,107.1,112.9,1116,11.2
28.7041,77.1025,18.5,65,991.0,8.5,197,100.4,105.7,1122,12.5
28.7041,77.1025,18.5,65,990.8,8.8,197,97.8,102.4,1275,20.6
28.7041,77.1025,17.9,70,990.8,5.6,197,100.8,104.3,1511,32.6
28.7041,77.1025,15.7,80,990.6,5.0,197,131.3,136.4,1704,50.7
28.7041,77.1025,13.1,83,991.6,4.4,197,144.4,148.5,1803,55.9
28.7041,77.1025,12.3,87,991.7,4.3,196,155.5,159.7,1860,63.1
28.7041,77.1025,11.6,90,991.9,4.0,196,169.0,173.2,1904,68.0
28.7041,77.1025,10.9,92,992.1,2.8,196,182.5,187.2,1952,68.9
28.7041,77.1025,9.9,96,992.2,3.0,196,194.6,198.8,1989,67.6
28.7041,77.1025,9.0,98,991.8,2.7,197,196.5,200.2,1994,64.7
28.5562,77.1,9.1,96,989.9,5.6,197,162.5,165.3,1424,43.5
28.5562,77.1,7.8,98,989.2,4.9,196,154.6,157.9,1335,33.1
28.5562,77.1,7.8,98,988.9,5.7,196,147.1,150.4,1271,24.6
28.5562,77.1,7.9,99,988.8,7.2,195,139.7,142.5,1240,18.8
28.5562,77.1,8.0,99,988.7,8.7,195,132.7,136.0,1236,14.9
28.5562,77.1,8.3,98,988.9,9.6,195,135.0,138.3,1286,15.4
28.5562,77.1,8.2,99,989.7,7.6,194,131.3,135.0,1455,20.7
28.5562,77.1,8.2,98,990.2,7.4,194,138.8,142.5,1680,27.7
28.5562,77.1,9.4,96,991.2,9.4,193,143.4,147.6,1796,31.6
28.5562,77.1,11.2,92,992.0,7.0,194,146.2,149.9,1705,29.3
28.5562,77.1,13.2,84,992.2,6.5,194,136.0,141.1,1505,23.9
28.5562,77.1,15.0,77,991.8,6.9,194,126.2,131.8,1331,19.1
28.5562,77.1,16.5,71,991.0,8.1,194,114.3,120.6,1204,15.0
28.5562,77.1,17.6,65,990.1,8.6,194,103.1,109.4,1102,11.6
28.5562,77.1,18.1,64,989.4,9.0,194,95.2,100.6,1092,12.9
28.5562,77.1,18.2,64,989.2,8.8,194,92.7,97.1,1241,22.2
28.5562,77.1,17.5,69,989.3,6.0,194,97.1,100.4,1482,36.1
28.5562,77.1,15.7,78,989.1,5.2,194,138.8,144.4,1679,61.1
28.5562,77.1,13.6,80,990.0,5.2,194,154.6,159.7,1772,70.8
28.5562,77.1,13.1,83,990.1,5.2,194,168.6,173.2,1820,84.2
28.5562,77.1,12.2,86,990.3,3.8,194,182.5,186.7,1867,93.2
28.5562,77.1,11.3,89,990.6,3.8,194,196.0,200.2,1943,94.8
28.6469,77.316,9.4,96,993.1,4.0,198,182.5,186.3,1948,53.9
28.6469,77.316,9.1,97,992.7,4.5,198,176.5,180.2,1823,47.6
28.6469,77.316,8.9,98,992.6,4.3,199,171.4,175.1,1697,40.4
28.6469,77.316,8.6,100,992.7,5.5,199,167.2,170.9,1592,33.1
28.6469,77.316,8.1,100,992.8,5.1,199,168.1,171.8,1624,29.7
28.6469,77.316,9.0,100,993.5,5.3,200,163.0,167.2,1939,34.2
28.6469,77.316,16.6,77,994.6,3.2,204,111.5,121.5,1836,23.3
28.6469,77.316,18.2,70,993.6,3.6,204,94.3,106.4,1618,17.9
28.6469,77.316,19.0,67,992.8,4.1,204,83.4,96.4,1609,18.5
28.6304,77.2177,9.4,95,991.9,4.2,197,189.1,192.8,1925,60.1
28.6304,77.2177,9.2,95,991.6,3.6,198,182.5,186.3,1819,53.9
28.6304,77.2177,8.7,97,991.2,4.2,198,176.5,180.2,1728,47.6
28.6304,77.2177,8.5,98,991.1,4.3,199,171.4,175.1,1635,40.4
28.6304,77.2177,8.4,100,991.2,4.9,199,167.2,170.9,1557,33.1
28.6304,77.2177,8.2,100,991.3,5.1,199,168.1,171.8,1588,29.7
28.6304,77.2177,8.9,99,992.0,4.7,200,163.0,167.2,1841,34.2
28.6304,77.2177,16.5,77,993.2,2.7,204,111.5,121.5,1801,23.3
28.6304,77.2177,18.2,70,992.2,3.0,204,94.3,106.4,1580,17.9
28.6304,77.2177,19.1,66,991.4,3.1,204,83.4,96.4,1552,18.5
28.6304,77.2177,19.5,66,990.8,3.4,203,79.4,91.7,1910,29.9
28.5882,77.0494,9.1,94,992.4,4.5,196,190.9,194.6,1976,78.2
28.5882,77.0494,8.9,94,992.1,3.4,197,182.1,185.8,1854,67.0
28.5882,77.0494,8.3,96,991.8,4.3,198,175.1,178.8,1753,56.6
28.5882,77.0494,8.1,97,991.8,4.3,198,169.0,172.3,1680,47.1
28.5882,77.0494,7.9,99,991.8,4.4,199,163.0,166.2,1628,38.5
28.5882,77.0494,7.7,100,991.9,5.1,199,166.2,169.5,1646,36.0
28.5882,77.0494,8.1,98,992.6,3.8,200,160.7,164.4,1808,40.7
28.5882,77.0494,12.1,96,995.3,2.3,205,157.9,163.0,1959,40.9
28.5882,77.0494,14.6,84,994.9,2.8,206,136.4,143.4,1787,34.9
28.5882,77.0494,17.0,71,993.8,3.4,206,110.6,119.7,1576,27.7
28.5882,77.0494,18.6,64,992.9,3.6,206,92.2,102.9,1348,20.8
28.5882,77.0494,19.4,62,992.0,3.6,206,83.1,93.8,1254,21.5
28.5882,77.0494,19.7,63,991.5,3.5,205,81.0,91.0,1379,35.1
28.5882,77.0494,18.9,73,991.2,2.7,205,88.5,96.6,1638,56.4
28.5882,77.0494,16.5,79,991.0,4.1,204,145.8,161.6,1926,101.6
28.5273,77.2618,9.8,93,990.5,4.7,196,190.9,194.6,1865,78.2
28.5273,77.2618,9.8,93,990.1,5.6,197,182.1,185.8,1716,67.0
28.5273,77.2618,9.8,93,989.7,6.9,198,175.1,178.8,1596,56.6
28.5273,77.2618,9.6,93,989.7,6.7,198,169.0,172.3,1497,47.1
28.5273,77.2618,9.4,94,989.7,7.2,199,163.0,166.2,1429,38.5
28.5273,77.2618,9.2,94,989.8,7.7,199,166.2,169.5,1472,36.0
28.5273,77.2618,9.4,99,990.6,5.7,200,160.7,164.4,1741,40.7
28.5273,77.2618,16.3,76,992.9,4.0,206,136.4,143.4,1937,34.9
28.5273,77.2618,18.0,68,991.7,4.2,206,110.6,119.7,1710,27.7
28.5273,77.2618,19.4,60,990.8,4.6,206,92.2,102.9,1475,20.8
28.5273,77.2618,20.1,55,990.0,4.9,206,83.1,93.8,1442,21.5
28.5273,77.2618,20.1,54,989.5,4.9,205,81.0,91.0,1800,35.1
28.7041,77.1025,8.4,100,991.3,3.9,197,189.1,192.8,1953,60.1
28.7041,77.1025,8.1,100,991.1,2.9,198,182.5,186.3,1882,53.9
28.7041,77.1025,7.7,100,990.6,4.1,198,176.5,180.2,1808,47.6
